"Designator","Layer","Center-X","Center-Y","Rotation","Footprint","Mount","State","Partnumber"
"C24H","Bottom","-119.5427","4.2415","0.0","CAP0603","SMD","OFF:NOFIT","$CCC-0603-X7R-50V-0.1µF±10%"
"DA1","Top","-48.2002","20.251","0.0","DIP-6","TH","OFF:MNT-TH","MOC3063M"
"FU2","Top","33.0","-45.0","90.0","ZH242","TH","OFF:MNT-TH","ZH242"
"FU3","Top","48.0","-46.0","90.0","ZH250","TH","OFF:MNT-TH","ZH250"
"FU4","Top","64.0","-46.0","90.0","ZH242","TH","OFF:MNT-TH","ZH242"
"FU5","Top","81.0","-46.0","90.0","ZH250","TH","OFF:MNT-TH","ZH250"
"GB1","Top","69.0","24.0","90.0","BH-25F-1","TH","OFF:MNT-TH","DS1092-04-B6P"
"GB2","Top","97.0","20.0","90.0","CR1/2AA-S-PCBD","TH","OFF:MNT-TH","CR 1/2 AA S PCBD"
"GB4","Top","70.0","58.0","90.0","BH-25F-1","TH","OFF:MNT-TH","BH-25F-1"
"HG1","Top","-1.0","58.0","0.0","Cx56-12","TH","OFF:MNT-TH","CC56-12SRWA"
"K1","Top","-104.52","-61.0","180.0","RZxx-5.0","TH","OFF:MNT-TH","RZ03-1A4-D012"
"K3","Top","-77.0","-62.0","90.0","BS-115C","TH","OFF:MNT-TH","RT214012"
"L7","Bottom","21.0","-16.0","270.0","SRU1048","SMD","OFF:NOFIT","SRU1048-470Y [$LPS-10×10×5.1-47µH±30%-1.5A]"
"L11","Bottom","-12.7979","-54.0085","90.0","SRR0604","SMD","OFF:NOFIT","SRR0604-100ML [$LPS-6.5×6.5×4.8-10µH±20%-1.3A]"
"R6","Top","11.1244","-4.6999","270.0","RES0603","SMD","OFF:NOFIT","$RTC-0603-100kOhm±5%"
"R12","Bottom","-20.0482","-51.9834","0.0","RES0603","SMD","OFF:NOFIT","$RTC-0603-300kOhm±5%"
"R15H","Bottom","-102.4919","60.7442","0.0","RES0603","SMD","OFF:NOFIT","$RTC-0603-1kOhm±1%"
"R16H","Bottom","-110.7673","60.7442","0.0","RES0603","SMD","OFF:NOFIT","$RTC-0603-1kOhm±1%"
"R17H","Bottom","-119.0427","60.7442","0.0","RES0603","SMD","OFF:NOFIT","$RTC-0603-1kOhm±1%"
"R18H","Bottom","-76.4156","4.1915","0.0","RES0603","SMD","OFF:NOFIT","$RTC-0603-1kOhm±1%"
"R19H","Bottom","-84.691","4.1915","0.0","RES0603","SMD","OFF:NOFIT","$RTC-0603-1kOhm±1%"
"R20H","Bottom","-92.9664","4.1915","0.0","RES0603","SMD","OFF:NOFIT","$RTC-0603-1kOhm±1%"
"RP1","Top","-52.746","55.873","90.0","POT_3006P","TH","OFF:MNT-TH","3006P-1-103"
"SA2","Top","-39.0","57.0","0.0","SWD-08","TH","OFF:MNT-TH","SWD-08L"
"SA5","Top","-64.625","59.0","90.0","SSSF012100","TH","OFF:MNT-TH","SSSF012100"
"VS2","Top","116.27","-20.45","0.0","TO-220AB-V","TH","OFF:MNT-TH","TYN412RG"
"VS4","Top","-47.855","-64.8","0.0","TO-220AB-V","TH","OFF:MNT-TH","BTA24-600BWRG"
"X1","Top","-45.918","-3.4242","0.0","15EDGRC-3.5-04P","TH","OFF:MNT-TH","15EDGRC-3.5-04P"
